image,class
v_ApplyEyeMakeup_g08_c01.avi_frame0.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c01.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c01.avi_frame2.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c01.avi_frame3.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c01.avi_frame4.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c02.avi_frame0.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c02.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c02.avi_frame2.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c02.avi_frame3.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c02.avi_frame4.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame0.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame2.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame3.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame4.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c03.avi_frame5.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame0.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame1.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame2.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame3.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame4.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame5.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame6.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame7.jpg,ApplyEyeMakeup
v_ApplyEyeMakeup_g08_c04.avi_frame8.jpg,ApplyEyeMakeup
